stature,weightkg,chestbreadth
1560,657,274
1665,534,261
1711,663,287
1660,782,269
1572,886,305
1707,837,285
1644,732,278
1671,760,294
1521,545,236
1590,684,292
1707,990,297
1668,742,304
1654,781,298
1666,718,293
1599,709,280
1673,672,275
1647,620,270
1678,595,261
1679,741,296
1615,605,270
1517,800,308
1674,747,287
1623,491,244
1668,703,296
1644,715,276
1579,708,294
1446,488,266
1620,691,255
1684,730,308
1619,610,263
1592,658,273
1655,709,273
1723,728,284
1677,846,304
1654,945,312
1634,627,274
1683,578,272
1552,524,242
1617,732,299
1588,791,274
1641,894,282
1685,689,294
1656,758,270
1603,731,301
1608,748,281
1664,806,288
1619,714,283
1620,712,277
1720,657,274
1582,477,264
1720,696,271
1720,1196,313
1701,887,310
1627,754,305
1536,678,291
1546,607,294
1654,572,256
1605,689,276
1630,712,268
1612,604,269
1757,697,266
1670,854,300
1632,617,269
1635,790,312
1682,672,272
1661,695,278
1596,669,287
1596,574,275
1665,815,312
1617,618,264
1555,645,247
1578,557,257
1581,614,265
1698,668,276
1554,730,299
1756,737,276
1566,693,294
1651,757,293
1585,740,314
1657,682,277
1719,867,312
1822,882,315
1649,786,274
1687,622,265
1698,782,281
1530,608,233
1581,674,299
1609,686,260
1644,670,274
1548,635,242
1606,773,257
1642,555,262
1622,727,270
1669,593,234
1745,998,298
1495,581,276
1493,642,270
1641,758,308
1607,683,279
1560,471,249
1625,665,296
1670,685,283
1616,579,264
1582,647,302
1730,591,270
1501,450,236
1515,572,267
1576,721,297
1628,676,252
1586,711,274
1737,791,267
1576,536,253
1626,639,270
1604,628,282
1673,788,299
1642,598,270
1538,752,292
1574,686,297
1637,668,266
1620,613,276
1733,742,284
1526,522,249
1732,767,275
1624,661,295
1507,505,246
1560,637,278
1640,666,270
1675,610,259
1526,581,266
1623,609,260
1584,575,255
1671,797,286
1552,745,270
1633,614,260
1530,677,278
1606,508,242
1617,633,254
1645,711,283
1681,727,293
1655,679,265
1626,833,295
1635,622,245
1572,616,264
1608,573,248
1662,507,258
1582,611,257
1701,866,307
1602,523,256
1549,676,253
1561,549,250
1677,571,268
1594,644,257
1628,649,262
1549,592,282
1559,563,236
1619,580,262
1690,810,256
1698,649,273
1705,654,243
1625,570,239
1666,805,287
1559,671,279
1595,673,267
1634,550,260
1643,708,263
1667,538,255
1661,771,272
1560,602,246
1610,719,265
1610,617,245
1682,761,295
1604,739,283
1540,560,254
1638,647,254
1656,724,267
1597,708,311
1749,953,304
1661,748,270
1526,700,286
1583,655,279
1533,499,238
1575,553,245
1776,924,318
1713,716,286
1653,676,261
1516,641,291
1658,666,263
1617,663,276
1687,763,280
1603,717,264
1539,643,275
1603,591,264
1620,529,250
1617,694,276
1600,699,271
1572,592,266
1632,540,252
1690,701,265
1682,681,265
1657,864,303
1672,672,280
1621,559,274
1623,566,256
1633,585,265
1526,628,272
1570,467,240
1616,599,284
1690,642,268
1637,813,300
1718,719,262
1588,548,247
1520,485,252
1618,658,269
1631,753,279
1642,636,268
1719,752,277
1715,755,247
1653,469,240
1590,537,272
1751,758,279
1583,679,264
1627,684,239
1586,677,276
1675,617,246
1606,717,273
1680,642,257
1773,740,248
1680,792,295
1645,581,244
1558,727,289
1665,704,293
1601,653,268
1658,725,265
1623,721,271
1661,561,217
1563,583,265
1630,677,262
1528,576,265
1653,559,254
1512,468,241
1629,567,257
1675,820,283
1498,664,273
1538,626,284
1567,653,276
1590,539,248
1573,750,290
1595,704,274
1610,675,264
1565,640,275
1523,470,238
1570,502,232
1556,597,276
1599,646,267
1611,726,283
1681,631,258
1585,631,263
1614,660,294
1674,789,275
1653,531,242
1593,708,258
1592,625,254
1617,680,264
1589,734,304
1597,688,270
1698,840,303
1619,647,273
1663,561,260
1606,735,277
1609,733,282
1696,605,266
1723,722,291
1748,908,259
1695,760,284
1648,606,266
1579,573,244
1587,602,283
1604,669,263
1603,829,300
1712,765,266
1628,671,262
1520,589,244
1640,615,267
1616,529,249
1684,847,316
1649,596,261
1677,666,256
1653,676,274
1638,658,253
1646,596,255
1619,735,269
1530,556,264
1603,561,242
1680,560,252
1602,871,301
1447,736,274
1627,613,236
1594,505,247
1688,823,297
1547,561,253
1621,754,277
1625,593,242
1597,695,259
1602,820,282
1614,583,260
1743,920,303
1603,841,293
1576,842,309
1619,660,265
1754,896,291
1709,842,267
1789,845,262
1587,596,257
1687,688,288
1665,690,249
1573,748,270
1654,699,260
1582,691,270
1575,566,242
1600,699,278
1584,468,248
1535,701,283
1593,832,286
1583,789,260
1608,592,253
1663,583,276
1609,746,259
1513,428,213
1704,853,290
1708,664,241
1506,577,247
1583,565,245
1731,714,263
1669,762,264
1640,556,258
1613,561,248
1640,641,267
1581,766,274
1664,702,261
1562,561,247
1722,812,301
1564,725,289
1589,686,274
1789,924,303
1608,662,299
1595,562,245
1590,564,256
1575,653,287
1539,679,260
1654,777,267
1616,632,251
1646,697,270
1548,681,250
1617,570,248
1527,742,295
1653,589,256
1606,750,298
1700,744,274
1672,815,295
1728,765,281
1677,827,300
1790,793,298
1643,735,271
1584,620,264
1583,659,287
1640,705,274
1562,493,246
1650,643,267
1656,654,276
1624,655,271
1631,856,307
1715,632,264
1607,648,263
1600,604,268
1571,702,277
1603,659,274
1599,771,311
1602,524,248
1642,685,270
1715,1017,305
1634,487,239
1657,824,261
1626,724,277
1536,617,270
1698,696,281
1652,753,288
1611,785,293
1764,812,286
1586,485,251
1592,595,258
1782,740,270
1708,799,296
1650,645,273
1612,725,281
1660,600,260
1629,630,256
