stature,weightkg,chestbreadth
1776,815,291
1702,726,269
1735,929,288
1655,794,296
1914,946,304
1720,802,281
1810,1162,278
1850,954,285
1777,995,335
1811,702,280
1780,882,293
1733,701,268
1814,1037,296
1861,1116,314
1709,896,263
1740,924,291
1694,779,275
1766,969,276
1748,760,274
1794,908,303
1780,714,296
1680,746,265
1653,792,276
1959,915,273
1755,965,283
1630,675,239
1825,1073,301
1795,793,280
1745,782,250
1818,882,277
1881,715,280
1760,947,294
1675,665,246
1852,879,296
1785,675,269
1791,884,299
1685,695,251
1850,1218,325
1737,719,270
1743,881,287
1744,575,257
1679,876,299
1836,850,263
1730,865,320
1762,958,305
1669,667,268
1740,706,272
1709,847,275
1879,1013,281
1674,856,265
1779,1095,322
1844,834,290
1637,727,268
1754,986,294
1704,773,279
1840,1400,363
1783,674,256
1748,884,302
1703,988,307
1852,952,314
1609,566,241
1709,717,291
1835,717,285
1679,802,271
1742,988,291
1698,662,256
1671,807,288
1850,1053,297
1754,683,279
1619,749,266
1772,738,293
1705,604,263
1619,774,280
1726,768,284
1840,1022,270
1743,963,303
1674,923,272
1750,988,293
1819,887,279
1799,987,282
1750,852,277
1723,748,264
1809,920,276
1791,744,287
1723,823,284
1578,627,279
1718,778,289
1799,882,308
1740,590,268
1702,730,284
1737,864,291
1730,866,280
1785,737,245
1817,654,272
1843,696,272
1791,775,298
1657,727,279
1701,797,281
1786,744,285
1755,968,301
1791,866,277
1759,742,276
1790,920,293
1782,814,280
1839,646,231
1880,954,313
1738,853,285
1734,900,281
1819,835,281
1683,851,296
1815,897,288
1815,872,297
1673,822,297
1831,1112,287
1795,987,291
1845,1105,314
1687,782,285
1756,869,279
1846,1413,363
1657,789,283
1632,690,280
1735,792,277
1726,699,268
1877,1212,316
1887,878,292
1765,706,262
1793,822,287
1849,992,279
1811,760,284
1739,988,285
1668,759,262
1788,898,269
1746,782,290
1750,831,287
1810,996,310
1710,742,293
1847,968,296
1811,916,301
1780,1080,284
1740,788,298
1797,949,284
1755,906,296
1842,1069,314
1656,874,263
1776,879,276
1859,1154,308
1685,790,277
1775,887,293
1825,866,263
1931,806,299
1789,966,324
1819,1099,302
1782,771,305
1721,951,298
1910,1118,314
1804,895,302
1782,1060,327
1777,951,283
1665,721,278
1803,872,278
1879,978,311
1733,974,313
1835,958,298
1792,1123,307
1721,900,317
1711,948,283
1809,950,307
1664,739,276
1807,1036,336
1705,777,260
1955,1080,313
1730,840,282
1774,964,301
1724,707,264
1705,705,277
1838,851,293
1706,865,304
1809,972,320
1773,822,287
1734,842,278
1748,723,289
1651,896,283
1724,755,281
1860,732,292
1715,701,265
1757,783,280
1916,1164,321
1847,799,291
1855,908,309
1718,677,249
1641,858,292
1833,852,297
1784,1033,314
1770,1034,298
1702,725,267
1800,711,283
1715,678,268
1842,782,271
1710,909,268
1753,840,288
1935,1086,305
1738,758,291
1770,833,289
1720,870,282
1673,728,283
1715,1109,316
1822,945,306
1913,1141,309
1756,907,285
